 H V C R G B
40 7.5PB 0.2 2 5.063823211513849 5.163155553572306 29.706817501842973
41 7.5PB 0.2 4 4.52741091827587 2.5404209580620676 39.91740416590666
50 10PB 0.2 2 13.280168863015449 2.680877989857141 29.47964154643309
60 2.5P 0.2 2 17.168258126754388 1.3437546750566913 28.67530312759932
69 5P 0.2 2 20.54994784047107 0.016021946274414237 27.635271408748096
124 5GY 0.4 2 8.498686364563637 17.294415043727756 0.9536445704568177
126 7.5GY 0.4 2 5.344331179473867 17.700429452217744 4.36651046816763
128 10GY 0.4 2 2.5924662347298817 18.034583399104978 7.554415504520902
130 2.5G 0.4 2 0.9742800933702187 18.214135164893094 9.648362058087944
161 2.5PB 0.4 2 0.6501591879428638 15.509941311505836 32.42084354094579
165 5PB 0.4 2 5.029972228570205 14.357544485089248 33.173037298042665
175 7.5PB 0.4 2 11.642193776759667 12.578590500467165 33.77775958384256
176 7.5PB 0.4 4 9.978082024375382 10.173812841849234 43.98921451410903
177 7.5PB 0.4 6 9.246531070800009 6.306308130600004 54.4342913956687
178 7.5PB 0.4 8 9.31455242280002 1.4645554932666658 64.43197271179059
189 10PB 0.4 2 17.514228194996143 10.557034142733796 33.69635700931716
190 10PB 0.4 4 20.21248825370552 6.632810620199998 42.67839454885113
191 10PB 0.4 6 23.563961853273575 1.6501558910640104 51.37089530931042
203 2.5P 0.4 2 21.0920500481392 9.08174033279661 32.933337327455014
204 2.5P 0.4 4 25.181995418216058 4.44784586537015 41.196021871568206
216 5P 0.4 2 24.314891717864665 7.728413558221978 31.423459870304853
217 5P 0.4 4 29.590096502535978 2.2080381028782647 39.40667686160667
226 7.5P 0.4 2 26.27784728645523 6.800274461471352 30.46074708646904
227 7.5P 0.4 4 31.796583665032546 1.079713504436624 37.97077393605867
235 10P 0.4 2 27.64608165615076 6.18435984833968 29.430396024810953
236 10P 0.4 4 33.45075093047909 0.22617099540000052 36.634974150568034
243 2.5RP 0.4 2 28.634995373822207 5.755071686869429 28.481574637545844
250 5RP 0.4 2 30.052694667428067 5.104438064541705 27.058019263088777
256 7.5RP 0.4 2 31.52271643872187 4.499767028781825 24.922229819410784
261 10RP 0.4 2 32.478594053969644 4.201968960796362 22.786909235877552
266 2.5R 0.4 2 33.61974606171061 3.8542948565796618 19.772526987844078
271 5R 0.4 2 34.275749103520276 3.841021257639998 16.478429325679173
275 7.5R 0.4 2 34.631588564356875 3.935999801700005 13.614007631855106
279 10R 0.4 2 34.868933038381826 4.073596074600005 10.73807136076879
283 2.5YR 0.4 2 34.92191036239839 4.571077842614818 5.401254750270367
287 5YR 0.4 2 34.79571465922486 5.181868492932432 0.3543551017847394
298 2.5GY 0.6 2 18.650597358117736 21.48792474318106 4.397303190219233
300 5GY 0.6 2 15.750412199509833 21.981404127441373 8.190150985799995
302 7.5GY 0.6 2 13.05614438214511 22.357139635592706 11.556088433804524
305 10GY 0.6 2 10.322334626860357 22.659258767696947 14.497423506052666
308 2.5G 0.6 2 8.851922924622693 22.79444548588079 15.94563598058751
311 5G 0.6 2 7.3785729816000085 22.916174029156643 17.46637072289589
314 7.5G 0.6 2 5.889969616016538 23.024367358673928 19.070643397914846
317 10G 0.6 2 4.124875922045845 23.154919236192875 20.81121065726423
320 2.5BG 0.6 2 2.54830416986588 23.236147830191037 22.62475917093168
323 5BG 0.6 2 0.35236980091447634 23.299976893308088 25.411405616354962
336 5B 0.6 2 0.21256471426775794 22.2966255027738 33.464804287043066
340 7.5B 0.6 2 1.972264511290208 21.815896753375295 34.685705852758026
344 10B 0.6 2 4.781420962874014 21.189944128456514 35.58132601142038
348 2.5PB 0.6 2 7.89845057529231 20.537186700423934 36.19606009971099
354 5PB 0.6 2 11.890336401834222 19.694258239559243 36.75863093227966
355 5PB 0.6 4 2.2681512264599966 19.187067772063738 47.86426544412372
365 7.5PB 0.6 2 17.929174502341755 18.114983527134658 37.18851826825901
366 7.5PB 0.6 4 16.35344381446438 16.082112213219826 47.91575494996484
